"Year"	"Country"	"ProdCode"	"ProdName"	"Spls."	"Pos."	"Pos%"	"Vio."	"Vio%"	"ResScope."	"Res."
"2023"	"China"	"20N01"	"Apple   (Core Fruit) "	2	2	100.00	0	0.00	805	3
"2023"	"China"	"20N03"	"Pear        (Core Fruit) "	4	4	100.00	0	0.00	806	7
"2023"	"China"	"21R05"	"Mango (Subtropical and Tropical Fruit Purees) "	1	1	100.00	0	0.00	789	4
"2023"	"China"	"22G99"	"Other Fruit and Fruit Products, N.E.C. "	1	1	100.00	0	0.00	805	4
"2023"	"China"	"22H02"	"Persimmon, Dried or Paste "	1	1	100.00	1	100.00	789	11
"2023"	"China"	"23B09"	"Pine Nut (Pinon), Shelled "	2	0	0.00	0	0.00	810	0
"2023"	"China"	"23B12"	"Walnuts, Black, English or Persian, Shelled "	1	0	0.00	0	0.00	788	0
"2023"	"China"	"23B16"	"Lotus Nut, Shelled "	1	0	0.00	0	0.00	788	0
"2023"	"China"	"23K01"	"Pumpkin Seed (Edible) "	2	0	0.00	0	0.00	805	0
"2023"	"China"	"23K04"	"Sunflower Seed (Edible) "	1	0	0.00	0	0.00	805	0
"2023"	"China"	"23K06"	"Lotus Seed (Edible) "	1	0	0.00	0	0.00	788	0
"2023"	"China"	"24A07"	"Kidney Bean "	3	0	0.00	0	0.00	810	0
"2023"	"China"	"24A09"	"Mung Bean "	6	1	17.00	1	17.00	811	2
"2023"	"China"	"24A13"	"Soybeans (See Industry 37 for 'Bean Curd') "	6	1	17.00	1	17.00	810	3
"2023"	"China"	"24A14"	"Stringbeans "	1	1	100.00	0	0.00	788	3
"2023"	"China"	"24A16"	"Black Beans "	1	1	100.00	1	100.00	789	7
"2023"	"China"	"24A51"	"Peas "	1	1	100.00	0	0.00	788	1
"2023"	"China"	"24A60"	"Corn, (Vegetable) "	1	0	0.00	0	0.00	788	0
"2023"	"China"	"24A99"	"Beans, Corn, and Pea, N.E.C. (Vegetable) "	1	0	0.00	0	0.00	805	0
"2023"	"China"	"24B09"	"Mung Bean, Dried or Paste "	2	1	50.00	1	50.00	810	2
"2023"	"China"	"24B10"	"Navy (White) Beans (Baked Beans, Pork  AND  Beans), Dried or Paste "	1	0	0.00	0	0.00	788	0
"2023"	"China"	"24B14"	"Stringbean, Dried or Paste "	1	1	100.00	1	100.00	789	4
"2023"	"China"	"24F04"	"Pimiento Pepper (Fruit Used as Vegetable) "	1	0	0.00	0	0.00	788	0
"2023"	"China"	"24F99"	"Fruits Used as Vegetables, N.E.C. "	1	0	0.00	0	0.00	788	0
"2023"	"China"	"24H07"	"Pepper, Sweet, Dried or Paste "	1	0	0.00	0	0.00	805	0
"2023"	"China"	"24T02"	"Asparagus (Leaf  AND  Stem Vegetable) "	1	0	0.00	0	0.00	788	0
"2023"	"China"	"24T03"	"Bamboo Shoots (Leaf  AND  Stem Vegetable) "	2	0	0.00	0	0.00	788	0
"2023"	"China"	"24T05"	"Broccoli (Leaf  AND  Stem Vegetable) "	5	5	100.00	2	40.00	811	20
"2023"	"China"	"24T10"	"Cauliflower (Leaf  AND  Stem Vegetable) "	2	1	50.00	0	0.00	810	1
"2023"	"China"	"24T25"	"Spinach (Leaf  AND  Stem Vegetable) "	5	5	100.00	2	40.00	811	35
"2023"	"China"	"24U03"	"Bamboo Shoots, Dried or Paste "	1	1	100.00	1	100.00	788	2
"2023"	"China"	"24U25"	"Spinach, Dried or Paste "	1	0	0.00	0	0.00	805	0
"2023"	"China"	"24U29"	"Seaweed, Dried or Paste "	1	1	100.00	1	100.00	788	5
"2023"	"China"	"24U33"	"Bok Choy,  Dried or Paste "	1	1	100.00	1	100.00	789	18
"2023"	"China"	"25E99"	"Mixed Vegetables, N.E.C. "	2	2	100.00	0	0.00	806	5
"2023"	"China"	"25J01"	"Carrot (Root  AND  Tuber Vegetable) "	1	1	100.00	0	0.00	789	3
"2023"	"China"	"25J11"	"Shallot (Onion) (Root  AND  Tuber Vegetable) "	1	0	0.00	0	0.00	788	0
"2023"	"China"	"25J15"	"Water Chestnut (Root  AND  Tuber Vegetable) "	1	0	0.00	0	0.00	788	0
"2023"	"China"	"25J18"	"Lotus Root (Root  AND  Tuber Vegetable) "	3	0	0.00	0	0.00	805	0
